HHID,SchID,FSU_Slno,Round,Schedule,Sample,Sector,NSS_Region,State,State_District,District,Stratum,SubStratumNo,SubRound,FODSubRegion,SSS,hh_no,visitNo,Level,b11bq1,b11bq3,b11bq4,b11bq5,b11bq6,NSC,MLT
554114021,771,55411,77,182,1,1,095,09,0918,18,18,34,1,0930,4,02,1,13,5,2500,0,0,2500,2,793000
577991011,771,57799,77,182,1,1,091,09,0903,03,03,35,2,0931,1,01,1,13,4,20000,,,20000,2,69650
577991011,771,57799,77,182,1,1,091,09,0903,03,03,35,2,0931,1,01,1,13,5,20000,,,20000,2,69650
577991021,771,57799,77,182,1,1,091,09,0903,03,03,35,2,0931,1,02,1,13,4,10000,,,10000,2,69650
577991021,771,57799,77,182,1,1,091,09,0903,03,03,35,2,0931,1,02,1,13,5,10000,,,10000,2,69650
577996021,771,57799,77,182,1,1,091,09,0903,03,03,35,2,0931,6,02,1,13,4,6000,,,6000,2,746250
577996021,771,57799,77,182,1,1,091,09,0903,03,03,35,2,0931,6,02,1,13,5,6000,,,6000,2,746250
571453041,771,57145,77,182,1,1,101,10,1011,11,11,22,1,1013,3,04,1,13,4,7200,1200,0,6000,2,150
571453041,771,57145,77,182,1,1,101,10,1011,11,11,22,1,1013,3,04,1,13,5,7200,1200,0,6000,2,150
571455011,771,57145,77,182,1,1,101,10,1011,11,11,22,1,1013,5,01,1,13,4,4200,1200,,3000,2,150
571455011,771,57145,77,182,1,1,101,10,1011,11,11,22,1,1013,5,01,1,13,5,4200,1200,,3000,2,150
570653011,771,57065,77,182,1,1,102,10,1022,22,22,21,1,1021,3,01,1,13,1,65500,0,0,65500,2,7725
570653011,771,57065,77,182,1,1,102,10,1022,22,22,21,1,1021,3,01,1,13,5,65500,0,0,65500,2,7725
570431011,771,57043,77,182,1,1,102,10,1023,23,23,11,1,1021,1,01,1,13,1,13830,0,0,13830,2,20000
570431011,771,57043,77,182,1,1,102,10,1023,23,23,11,1,1021,1,01,1,13,5,13830,0,0,13830,2,20000
576644021,771,57664,77,182,1,1,101,10,1002,02,02,21,2,1012,4,02,1,13,1,120000,,,120000,2,4600
576644021,771,57664,77,182,1,1,101,10,1002,02,02,21,2,1012,4,02,1,13,5,120000,,,120000,2,4600
595322021,771,59532,77,182,1,1,111,11,1102,02,02,34,1,1110,2,02,1,13,1,165000,17000,0,148000,2,2850
595322021,771,59532,77,182,1,1,111,11,1102,02,02,34,1,1110,2,02,1,13,5,165000,17000,0,148000,2,2850
595201021,771,59520,77,182,1,1,111,11,1104,04,04,35,2,1110,1,02,1,13,1,75000,0,0,75000,2,9075
595201021,771,59520,77,182,1,1,111,11,1104,04,04,35,2,1110,1,02,1,13,5,75000,0,0,75000,2,9075
597754011,771,59775,77,182,1,1,121,12,1210,10,10,11,1,ARN,4,01,1,13,4,13000,0,0,13000,2,3800
597754011,771,59775,77,182,1,1,121,12,1210,10,10,11,1,ARN,4,01,1,13,5,13000,0,0,13000,2,3800
597755011,771,59775,77,182,1,1,121,12,1210,10,10,11,1,ARN,5,01,1,13,4,10000,0,3000,13000,2,4886
597755011,771,59775,77,182,1,1,121,12,1210,10,10,11,1,ARN,5,01,1,13,5,10000,0,3000,13000,2,4886
597755021,771,59775,77,182,1,1,121,12,1210,10,10,11,1,ARN,5,02,1,13,4,10000,0,3000,13000,2,4886
597755021,771,59775,77,182,1,1,121,12,1210,10,10,11,1,ARN,5,02,1,13,5,10000,0,3000,13000,2,4886
597755051,771,59775,77,182,1,1,121,12,1210,10,10,11,1,ARN,5,05,1,13,4,4000,0,0,4000,2,4886
